iter	Passed	Remaining
406	6017	8767
407	6032	8753
408	6044	8733
409	6060	8720
410	6076	8708
411	6091	8693
412	6105	8678
413	6120	8662
414	6134	8646
415	6148	8631
416	6163	8617
417	6178	8603
418	6193	8588
419	6209	8574
420	6223	8559
421	6239	8546
422	6255	8532
423	6270	8518
424	6284	8502
425	6298	8486
426	6312	8470
427	6326	8454
428	6340	8439
429	6355	8425
430	6370	8410
431	6385	8395
432	6400	8381
433	6414	8365
434	6426	8347
435	6440	8331
436	6455	8316
437	6470	8302
438	6484	8287
439	6500	8273
440	6516	8259
441	6528	8242
442	6542	8225
443	6557	8211
444	6571	8196
445	6586	8181
446	6601	8167
447	6615	8151
448	6629	8135
449	6644	8121
450	6660	8107
451	6674	8091
452	6687	8075
453	6701	8058
454	6710	8038
455	6726	8024
456	6742	8011
457	6757	7997
458	6772	7982
459	6788	7969
460	6804	7955
461	6817	7939
462	6833	7926
463	6849	7912
464	6863	7896
465	6877	7880
466	6887	7861
467	6899	7843
468	6912	7825
469	6925	7809
470	6936	7790
471	6949	7774
472	6962	7757
473	6975	7740
474	6987	7722
475	6998	7704
476	7011	7687
477	7025	7672
478	7037	7654
479	7048	7636
480	7064	7622
481	7080	7609
482	7096	7596
483	7114	7585
484	7195	7640
485	7276	7695
486	7311	7702
487	7327	7688
488	7339	7669
489	7368	7668
490	7384	7654
491	7395	7636
492	7412	7623
493	7425	7605
494	7440	7591
495	7456	7576
496	7467	7557
497	7478	7538
498	7491	7521
499	7506	7506
500	7521	7491
501	7534	7474
502	7546	7456
503	7558	7438
504	7571	7421
505	7585	7405
506	7597	7387
507	7607	7367
508	7620	7350
509	7633	7333
510	7644	7315
511	7655	7296
512	7668	7279
513	7679	7261
514	7690	7242
515	7702	7224
516	7714	7206
517	7725	7188
518	7736	7170
519	7748	7152
520	7760	7134
521	7771	7116
522	7782	7097
523	7794	7080
524	7805	7062
525	7817	7044
526	7830	7028
527	7842	7011
528	7853	6992
529	7864	6973
530	7876	6956
531	7888	6939
532	7899	6921
533	7918	6909
534	7928	6891
535	7940	6874
536	7951	6856
537	7962	6837
538	7974	6820
539	7985	6802
540	7997	6784
541	8008	6766
542	8018	6748
543	8029	6730
544	8041	6713
545	8051	6695
546	8062	6677
547	8075	6660
548	8089	6645
549	8102	6629
550	8117	6614
551	8129	6598
552	8142	6582
553	8155	6565
554	8171	6552
555	8188	6538
556	8203	6524
557	8219	6510
558	8234	6495
559	8249	6481
560	8265	6467
561	8279	6452
562	8293	6437
563	8306	6421
564	8321	6406
565	8336	6392
566	8351	6377
567	8367	6363
568	8380	6347
569	8394	6332
570	8408	6317
571	8423	6303
572	8442	6291
573	8458	6277
574	8473	6263
575	8487	6247
576	8501	6232
577	8516	6217
578	8530	6202
579	8546	6188
580	8561	6174
581	8576	6160
582	8593	6146
583	8608	6131
584	8622	6116
585	8638	6102
586	8652	6087
587	8662	6069
588	8677	6054
589	8692	6040
590	8706	6025
591	8722	6011
592	8737	5996
593	8751	5981
594	8766	5967
595	8782	5952
596	8796	5938
597	8810	5922
598	8824	5907
599	8838	5892
600	8853	5877
601	8868	5863
602	8881	5847
603	8894	5831
604	8907	5815
605	8922	5801
606	8937	5786
607	8951	5771
608	8963	5755
609	8976	5738
610	8989	5723
611	9002	5707
612	9015	5691
613	9029	5676
614	9043	5661
615	9057	5646
616	9070	5630
617	9082	5614
618	9095	5598
619	9111	5584
620	9127	5570
621	9143	5556
622	9159	5543
623	9175	5528
624	9190	5514
625	9206	5500
626	9221	5485
627	9236	5471
628	9251	5456
629	9263	5440
630	9278	5425
631	9293	5411
632	9307	5396
633	9322	5381
634	9338	5367
635	9351	5351
636	9364	5336
637	9375	5319
638	9388	5303
639	9401	5288
640	9415	5273
641	9431	5259
642	9446	5244
643	9461	5230
644	9474	5214
645	9486	5198
646	9501	5183
647	9515	5169
648	9530	5154
649	9546	5140
650	9560	5125
651	9575	5110
652	9589	5095
653	9603	5080
654	9617	5065
655	9628	5048
656	9641	5033
657	9655	5018
658	9668	5003
659	9682	4987
660	9696	4972
661	9710	4957
662	9725	4943
663	9740	4929
664	9755	4914
665	9770	4900
666	9785	4885
667	9801	4871
668	9818	4857
669	9833	4843
670	9848	4828
671	9860	4813
672	9876	4798
673	9890	4783
674	9904	4768
675	9919	4754
676	9934	4739
677	9949	4725
678	9964	4710
679	9979	4696
680	9994	4681
681	10009	4667
682	10022	4651
683	10036	4636
684	10051	4622
685	10067	4607
686	10083	4593
687	10098	4579
688	10114	4565
689	10129	4550
690	10145	4536
691	10161	4522
692	10177	4508
693	10193	4494
694	10208	4479
695	10222	4465
696	10236	4450
697	10252	4435
698	10266	4420
699	10279	4405
700	10292	4390
701	10306	4375
702	10319	4359
703	10331	4343
704	10341	4327
705	10356	4312
706	10371	4298
707	10387	4284
708	10402	4269
709	10418	4255
710	10433	4240
711	10447	4226
712	10463	4211
713	10479	4197
714	10494	4183
715	10509	4168
716	10523	4153
717	10537	4138
718	10550	4123
719	10564	4108
720	10579	4093
721	10592	4078
722	10603	4062
723	10617	4047
724	10631	4032
725	10646	4017
726	10661	4003
727	10677	3989
728	10692	3974
729	10709	3960
730	10724	3946
731	10739	3931
732	10755	3917
733	10771	3903
734	10787	3889
735	10802	3874
736	10816	3859
737	10827	3843
738	10842	3829
739	10858	3814
740	10870	3799
741	10882	3783
742	10895	3768
743	10905	3752
744	10918	3737
745	10930	3721
746	10940	3705
747	10951	3689
748	10965	3674
749	10978	3659
750	10992	3644
751	11004	3629
752	11015	3613
753	11030	3598
754	11046	3584
755	11068	3572
756	11089	3559
757	11107	3546
758	11121	3531
759	11132	3515
760	11146	3500
761	11159	3485
762	11172	3470
763	11182	3454
764	11194	3438
765	11211	3424
766	11229	3411
767	11244	3396
768	11259	3382
769	11271	3366
770	11281	3350
771	11294	3335
772	11307	3320
773	11321	3305
774	11333	3290
775	11344	3274
776	11356	3259
777	11369	3244
778	11381	3228
779	11391	3213
780	11405	3198
781	11418	3183
782	11430	3167
783	11441	3152
784	11453	3137
785	11466	3121
786	11476	3106
787	11488	3090
788	11500	3075
789	11510	3059
790	11521	3044
791	11534	3029
792	11545	3013
793	11556	2998
794	11567	2982
795	11580	2967
796	11592	2952
797	11603	2937
798	11615	2922
799	11628	2907
800	11639	2891
801	11650	2876
802	11663	2861
803	11674	2846
804	11684	2830
805	11695	2815
806	11706	2799
807	11718	2784
808	11731	2769
809	11745	2755
810	11759	2740
811	11773	2725
812	11787	2711
813	11800	2696
814	11814	2681
815	11827	2667
816	11841	2652
817	11856	2638
818	11873	2623
819	11889	2609
820	11903	2595
821	11917	2580
822	11931	2566
823	11945	2551
824	11958	2536
825	11969	2521
826	11980	2506
827	11990	2490
828	12002	2475
829	12013	2460
830	12023	2445
831	12034	2430
832	12045	2414
833	12056	2399
834	12070	2385
835	12085	2370
836	12098	2356
837	12113	2341
838	12127	2327
839	12136	2311
840	12148	2296
841	12161	2282
842	12176	2267
843	12191	2253
844	12205	2238
845	12219	2224
846	12234	2210
847	12250	2195
848	12267	2181
849	12282	2167
850	12297	2153
851	12312	2138
852	12330	2124
853	12345	2110
854	12361	2096
855	12376	2082
856	12391	2067
857	12406	2053
858	12420	2038
859	12434	2024
860	12449	2009
861	12464	1995
862	12479	1981
863	12495	1966
864	12509	1952
865	12524	1938
866	12536	1923
867	12546	1908
868	12560	1893
869	12574	1878
870	12589	1864
871	12604	1850
872	12620	1835
873	12635	1821
874	12648	1806
875	12661	1792
876	12675	1777
877	12690	1763
878	12706	1749
879	12720	1734
880	12735	1720
881	12750	1705
882	12766	1691
883	12782	1677
884	12798	1663
885	12815	1648
886	12831	1634
887	12847	1620
888	12862	1606
889	12878	1591
890	12894	1577
891	12910	1563
892	12925	1548
893	12940	1534
894	12955	1519
895	12970	1505
896	12984	1490
897	12999	1476
898	13013	1462
899	13028	1447
900	13043	1433
901	13058	1418
902	13073	1404
903	13088	1389
904	13104	1375
905	13120	1361
906	13133	1346
907	13147	1332
908	13161	1317
909	13175	1303
910	13190	1288
911	13202	1273
912	13218	1259
913	13233	1245
914	13247	1230
915	13261	1216
916	13274	1201
917	13289	1187
918	13303	1172
919	13318	1158
920	13334	1143
921	13349	1129
922	13364	1114
923	13379	1100
924	13394	1086
925	13409	1071
926	13424	1057
927	13438	1042
928	13452	1028
929	13465	1013
930	13480	999
931	13495	984
932	13508	970
933	13522	955
934	13537	941
935	13553	926
936	13568	912
937	13581	897
938	13595	883
939	13609	868
940	13620	854
941	13636	839
942	13651	825
943	13666	810
944	13681	796
945	13695	781
946	13710	767
947	13726	752
948	13740	738
949	13754	723
950	13769	709
951	13786	695
952	13801	680
953	13817	666
954	13833	651
955	13849	637
956	13866	623
957	13881	608
958	13897	594
959	13912	579
960	13928	565
961	13943	550
962	13959	536
963	13978	522
964	13991	507
965	14007	493
966	14023	478
967	14039	464
968	14055	449
969	14071	435
970	14087	420
971	14102	406
972	14114	391
973	14129	377
974	14144	362
975	14159	348
976	14174	333
977	14189	319
978	14205	304
979	14221	290
980	14233	275
981	14247	261
982	14261	246
983	14276	232
984	14290	217
985	14306	203
986	14319	188
987	14334	174
988	14350	159
989	14366	145
990	14382	130
991	14397	116
992	14412	101
993	14427	87
994	14442	72
995	14456	58
996	14469	43
997	14479	29
998	14494	14
999	14510	0
