iter	Logloss
0	0.6871881274
1	0.681304868
2	0.6723048179
3	0.6675188672
4	0.6629277604
5	0.6535957219
6	0.6492345473
7	0.6452227271
8	0.6409940119
9	0.6358468919
10	0.6311463956
11	0.6271916637
12	0.6227690721
13	0.6183587537
14	0.6129502801
15	0.6078511836
16	0.6061144953
17	0.603691117
18	0.59979108
19	0.5960212106
20	0.5922741562
21	0.5867536956
22	0.5857785081
23	0.5829277564
24	0.5796443858
25	0.5770914001
26	0.5734273046
27	0.5697182411
28	0.5676127447
29	0.5657043839
30	0.5622801003
31	0.5586986582
32	0.5549949929
33	0.5535026999
34	0.5500263187
35	0.5478384235
36	0.545573375
37	0.5446182525
38	0.5422800738
39	0.5373397655
40	0.5334057098
41	0.5309458173
42	0.5285955182
43	0.5246658421
44	0.5240373098
45	0.5192886881
46	0.5171724462
47	0.515182858
48	0.5146510347
49	0.5141212995
50	0.5131630705
51	0.5107503357
52	0.5084491805
53	0.5075076552
54	0.5053422695
55	0.5034154224
56	0.50208645
57	0.500759311
58	0.4985876103
59	0.4973546849
60	0.4963595852
61	0.495755243
62	0.4947194023
63	0.493301869
64	0.4899177153
65	0.4867498965
66	0.4858147371
67	0.4847331137
68	0.4831504265
69	0.4822503043
70	0.4803764716
71	0.4800495757
72	0.4776764616
73	0.4752300646
74	0.4736176874
75	0.4727482738
76	0.4714764407
77	0.4704853642
78	0.468625638
79	0.4677939099
80	0.4670050107
81	0.4655219863
82	0.4643846495
83	0.4639847254
84	0.4635316342
85	0.4627910132
86	0.4616756256
87	0.4613909477
88	0.4606206366
89	0.4602161291
90	0.458580886
91	0.4577068381
92	0.4573230576
93	0.4555025447
94	0.4550416618
95	0.4541954706
96	0.4533655758
97	0.4519971355
98	0.4511593981
99	0.4504799905
100	0.4480198433
101	0.4466784958
102	0.4464373599
103	0.4451136328
104	0.4443891045
105	0.4437765632
106	0.4420650325
107	0.4412853001
108	0.4405953507
109	0.4401181205
110	0.4382167366
111	0.4379825775
